city,archetype,seed,ssp,epoch,mc,dGW,mean_dmg_final
Tianjin,deltaic,0,Control-NoCC,2020,0,0.0,0.4661365845691169
Tianjin,deltaic,0,Control-NoCC,2020,1,0.0,0.4854618084109808
Tianjin,deltaic,0,Control-NoCC,2020,2,0.0,0.5937536662546136
Tianjin,deltaic,0,Control-NoCC,2020,3,0.0,0.6785428664331837
Tianjin,deltaic,0,Control-NoCC,2020,4,0.0,0.6927712796800547
Tianjin,deltaic,0,Control-NoCC,2020,5,0.0,0.5835859133499741
Tianjin,deltaic,0,Control-NoCC,2020,6,0.0,0.6232347565590073
Tianjin,deltaic,0,Control-NoCC,2020,7,0.0,0.6349928093503042
Tianjin,deltaic,0,Control-NoCC,2020,8,0.0,0.6241794248146507
Tianjin,deltaic,0,Control-NoCC,2020,9,0.0,0.6463059219864816
Tianjin,deltaic,0,Control-NoCC,2020,10,0.0,0.4755902959816747
Tianjin,deltaic,0,Control-NoCC,2020,11,0.0,0.6565235097925318
Tianjin,deltaic,0,Control-NoCC,2030,0,-0.03783409082292209,0.5869202184671874
Tianjin,deltaic,0,Control-NoCC,2030,1,-0.09906198608576797,0.5572640908700219
Tianjin,deltaic,0,Control-NoCC,2030,2,-0.0676659277302488,0.6091769318473085
Tianjin,deltaic,0,Control-NoCC,2030,3,0.11231504995552183,0.6009310456801819
Tianjin,deltaic,0,Control-NoCC,2030,4,-0.006707915439849008,0.5791562427996406
Tianjin,deltaic,0,Control-NoCC,2030,5,-0.009848470608382542,0.592702173044366
Tianjin,deltaic,0,Control-NoCC,2030,6,-0.017183469923192158,0.5809968319746173
Tianjin,deltaic,0,Control-NoCC,2030,7,0.0986335366886268,0.5607519062016839
Tianjin,deltaic,0,Control-NoCC,2030,8,-0.026512719780023824,0.5465321048460219
Tianjin,deltaic,0,Control-NoCC,2030,9,-0.03533768139962893,0.5303017514209192
Tianjin,deltaic,0,Control-NoCC,2030,10,0.07216222859961412,0.6047710164269631
Tianjin,deltaic,0,Control-NoCC,2030,11,0.0029322943282508555,0.6359628045263679
Tianjin,deltaic,0,Control-NoCC,2040,0,0.0037923840564829444,0.655976431361817
Tianjin,deltaic,0,Control-NoCC,2040,1,0.022018377287643807,0.5777400948605864
Tianjin,deltaic,0,Control-NoCC,2040,2,0.005515507037995691,0.5203320661834723
Tianjin,deltaic,0,Control-NoCC,2040,3,0.12612030359680837,0.5638894042588352
Tianjin,deltaic,0,Control-NoCC,2040,4,0.050750598234240926,0.6676757473242225
Tianjin,deltaic,0,Control-NoCC,2040,5,0.09092285702419761,0.599085379690799
Tianjin,deltaic,0,Control-NoCC,2040,6,0.18661791820941778,0.5984029086972299
Tianjin,deltaic,0,Control-NoCC,2040,7,0.011415713205425861,0.5868262911017533
Tianjin,deltaic,0,Control-NoCC,2040,8,0.09884351940054992,0.5798488501091341
Tianjin,deltaic,0,Control-NoCC,2040,9,-0.06684824527999048,0.7124099665146676
Tianjin,deltaic,0,Control-NoCC,2040,10,-0.0518811930314779,0.6402284893994402
Tianjin,deltaic,0,Control-NoCC,2040,11,-0.019799639748714,0.61873685022401
Tianjin,deltaic,0,Control-NoCC,2050,0,0.03428054127653992,0.6170570824950606
Tianjin,deltaic,0,Control-NoCC,2050,1,0.16385622481157222,0.5712783473668125
Tianjin,deltaic,0,Control-NoCC,2050,2,-0.06451459835441799,0.7176874295776511
Tianjin,deltaic,0,Control-NoCC,2050,3,-0.020669535002374353,0.5719709972368241
Tianjin,deltaic,0,Control-NoCC,2050,4,0.033573743043178936,0.5457688081680252
Tianjin,deltaic,0,Control-NoCC,2050,5,0.042421062853517606,0.5281348998979203
Tianjin,deltaic,0,Control-NoCC,2050,6,0.005660381941845062,0.6171106552255835
Tianjin,deltaic,0,Control-NoCC,2050,7,0.059278379850912895,0.6139871151145677
Tianjin,deltaic,0,Control-NoCC,2050,8,0.0806622381723971,0.5284096658936831
Tianjin,deltaic,0,Control-NoCC,2050,9,0.03239859091139424,0.6482428695318196
Tianjin,deltaic,0,Control-NoCC,2050,10,0.04502694667801959,0.6119215148411018
Tianjin,deltaic,0,Control-NoCC,2050,11,-0.1510055983008983,0.5124809041788005
Tianjin,deltaic,0,Control-NoCC,2060,0,-0.05256003253416675,0.5539109104617842
Tianjin,deltaic,0,Control-NoCC,2060,1,-0.03279803345041322,0.6263017059113194
Tianjin,deltaic,0,Control-NoCC,2060,2,-0.016505670807000626,0.6266934620046287
Tianjin,deltaic,0,Control-NoCC,2060,3,-0.15129235528151683,0.5362249850916246
Tianjin,deltaic,0,Control-NoCC,2060,4,0.05766839740075789,0.5500479219026847
Tianjin,deltaic,0,Control-NoCC,2060,5,0.023162627274177155,0.6701706441925037
Tianjin,deltaic,0,Control-NoCC,2060,6,-0.02490891597073699,0.6268615239087778
Tianjin,deltaic,0,Control-NoCC,2060,7,-0.03976186595487604,0.6039907029996061
Tianjin,deltaic,0,Control-NoCC,2060,8,0.011145589802234386,0.5776426428162583
Tianjin,deltaic,0,Control-NoCC,2060,9,0.1314120732327078,0.47077822776496103
Tianjin,deltaic,0,Control-NoCC,2060,10,-0.030524046485774493,0.5946444322637221
Tianjin,deltaic,0,Control-NoCC,2060,11,0.061557196520712634,0.6373811545379813
Tianjin,deltaic,0,Control-NoCC,2070,0,0.057000874763200954,0.6573793224931072
Tianjin,deltaic,0,Control-NoCC,2070,1,0.10434691245083169,0.6731806739637598
Tianjin,deltaic,0,Control-NoCC,2070,2,-0.08498224942623321,0.58191149637932
